Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.22u,
"C10, C8",0805,2,1n,
"C11, C13, C19, C22, C23",0805,5,10n,
"C12, C32, C4",0805,3,10u,
"C14, C18, C24, C25, C26, C27, C28, C29, C3, C33, C5, C7",0805,12,1u,
C15,0805,1,4.7u,
"C16, C2, C20, C6",0805,4,0.1u,
"C17, C30",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,2,10u,
C21,0805,1,220n,
C31,0805,1,100n,
C9,C_Radial_D5.0mm_H11.0mm_P2.00mm,1,C_Polarized,
"D1, D8",SOT-23,2,BAT54S,
D2,SOT-23_Handsoldering,1,BAV99,
D3,D_DO-35_SOD27_P7.62mm_Horizontal,1,Zener18,
"D4, D5",D_DO-35_SOD27_P7.62mm_Horizontal,2,Zener16V,
D6,D_DO-35_SOD27_P7.62mm_Horizontal,1,zener3V,
D7,D_DO-35_SOD27_P7.62mm_Horizontal,1,ZenerOVP,
"J1, J6",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,2,Conn_Coaxial,
J11,BarrelJack_Kycon_KLDX-0202-xC_Horizontal,1,Barrel_Jack_Switch_Pin3Ring,
J2,PinSocket_1x03_P2.54mm_Vertical,1,PID_tester,
J5,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,EXTMOS,
J7,PinSocket_1x03_P2.54mm_Vertical,1,LCDVCC,
JP1,PinSocket_1x02_P2.54mm_Vertical,1,TPVSW,
JP10,PinSocket_1x02_P2.54mm_Vertical,1,TPDAC,
JP11,PinSocket_1x02_P2.54mm_Vertical,1,TPGateOCP,
JP12,PinSocket_1x02_P2.54mm_Vertical,1,TPCMP1,
JP14,PinSocket_1x02_P2.54mm_Vertical,1,TP__VSW,
JP15,PinSocket_1x02_P2.54mm_Vertical,1,NTC,
"JP2, JP3",PinSocket_1x02_P2.54mm_Vertical,2,LDOvoltage,
JP4,PinSocket_1x02_P2.54mm_Vertical,1,TP_5V,
JP5,PinSocket_1x02_P2.54mm_Vertical,1,TP_VCC,
JP6,PinSocket_1x02_P2.54mm_Vertical,1,TP555out,
JP7,PinSocket_1x02_P2.54mm_Vertical,1,TPoutPID,
JP8,PinSocket_1x02_P2.54mm_Vertical,1,TPinPID,
JP9,PinSocket_1x02_P2.54mm_Vertical,1,TPGate,
M1,FanPinHeader_1x04_P2.54mm_Vertical,1,Fan_4pin,
MT2,XDCR_PEC11R-4215F-S0024,1,PEC11R-4215F-S0024,
Q1,TO-247-3_Vertical,1,IRFP250N,
Q10,TO-92,1,2N3904,
"Q11, Q13, Q8",SOT-23_Handsoldering,3,BSS84,
Q12,TO-92,1,2N3906,
Q2,SOT-23_Handsoldering,1,2N3906,
"Q3, Q9",SOT-23_Handsoldering,2,2N3904,
Q5,SOT-23_Handsoldering,1,2N7000,
"Q6, Q7",TO-220-3_Vertical,2,G050P03T,
"R1, R20, R21",0805,3,2k,
"R10, R15, R28, R29, R42, R43, R44, R45, R5, R50, R51, R52, R55, R56",0805,14,1k,
"R12, R57, R59",0805,3,100k,
"R13, R16, R17, R18, R27, R4",0805,6,5k,
R14,0805,1,120	,
"R19, R23, R24, R25, R38, R39, R40, R41, R48, R53, R54, R58, R6, R7",0805,14,10k,
R2,0805,1,700,
R22,0805,1,4k,
R26,0805,1,20k,
"R2stg1, R2stg2",2512,2,100,
R3,0805,1,100,
"R30, R31, R32, R33, R34, R46, R47",0805,7,22,
R35,0805,1,0,
R36,0805,1,1G,
R37,0805,1,500,
R8,0805,1,240,
R9,0805,1,1.4k,
"RShunt1, RShunt2",2512,2,0.1,
"RV2, RV3, RV4",Potentiometer_ACP_CA9-H5_Horizontal,3,20k,C118929
"SW1, SW2",Soft_Switch 8x8mm,2,SW_Push,
U1,SOT-23-5_HandSoldering,1,INA180A1,
U10,SOIC127P599X175-8N,1,DAC8830IDR,
U11,TFT-320x240,1,TFT_320x240,
U12,Blackpill_mia,1,~,
U13,TO-92,1,LM337L_TO92,
U14,DIP-8_W7.62mm_Socket,1,OP07,
U2,DIP-8_W7.62mm_Socket,1,TL072,
U3,TO-220-3_Vertical,1,LM7805_TO220,
U4,TO-220-3_Vertical,1,LM317_TO-220,
U5,DIP-8_W7.62mm,1,NE555P,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
U7,SOT-23_Handsoldering,1,TL431DBZ,
U8,SOT-23-5_HandSoldering,1,TPS709,
U9,TSSOP-20_4.4x6.5mm_P0.65mm,1,ADS131M04IPWR,
