Designator,Mid X,Mid Y,Rotation,Layer
C1,123.2468,-71.3487,90.0,top
C10,127.0115,-32.8723,0.0,top
C11,135.8646,-66.0054,90.0,top
C12,139.319,-68.2914,90.0,top
C13,135.9154,-74.235,90.0,top
C14,214.6754,-61.16865,270.0,top
C15,224.175,-61.11785,270.0,top
C16,208.2292,-90.9482,0.0,top
C17,208.3816,-94.428,0.0,top
C18,216.38625,-76.6225,0.0,top
C19,133.6294,-42.993,180.0,top
C2,122.8598,-50.1304,0.0,top
C20,219.3544,-87.2144,90.0,top
C21,209.25885,-76.8512,270.0,top
C22,220.80865,-68.1937,270.0,top
C23,221.02675,-76.2924,90.0,top
C24,212.37305,-76.6225,180.0,top
C25,221.9522,-136.5758,180.0,top
C26,221.86,-129.3876,180.0,top
C27,221.8148,-123.5364,180.0,top
C28,202.3688,-133.9504,180.0,top
C29,184.1679,-134.3822,180.0,top
C3,128.8034,-106.6145,90.0,top
C30,222.0468,-87.5954,90.0,top
C31,134.1229,-32.9078,180.0,top
C32,156.9974,-57.7289,270.0,top
C33,157.0482,-53.2546,90.0,top
C4,126.4666,-58.9188,270.0,top
C5,130.2004,-42.0317,90.0,top
C6,123.323,-66.7259,270.0,top
C7,126.9238,-54.1944,270.0,top
C8,130.2666,-37.2819,270.0,top
C9,131.6534,-53.7974,270.0,top
D1,134.76915,-59.9895,180.0,top
D2,134.3406,-38.3942,90.0,top
D3,186.8678,-41.3928,180.0,top
D4,194.437,-44.3392,0.0,top
D5,188.4934,-93.5898,0.0,top
D6,172.1104,-108.6042,90.0,top
D7,174.2694,-84.9792,270.0,top
D8,162.5346,-55.058,270.0,top
J1,249.63655,-55.6168,270.0,top
J11,119.1784,-84.5632,0.0,top
J2,146.1512,-71.2782,180.0,top
J5,238.577,-36.4398,0.0,top
J6,249.58575,-76.902,270.0,top
J7,125.197,-133.148,0.0,top
JP1,139.7054,-47.3106,90.0,top
JP10,174.8082,-68.418,90.0,top
JP11,186.8986,-112.3092,90.0,top
JP12,179.0246,-116.8812,90.0,top
JP14,155.174,-62.6522,90.0,top
JP15,133.8072,-104.0237,180.0,top
JP2,149.7072,-58.0752,180.0,top
JP3,130.0278,-60.011,180.0,top
JP4,127.133,-69.7246,0.0,top
JP5,139.4006,-53.4066,90.0,top
JP6,132.3394,-47.4376,90.0,top
JP7,170.7896,-53.3308,90.0,top
JP8,149.9416,-81.2704,90.0,top
JP9,202.4884,-54.1382,180.0,top
M1,132.9992,-92.4114,270.0,top
MT2,237.3486,-131.6282,270.0,top
Q1,218.7702,-37.1256,0.0,top
Q10,188.2502,-51.6572,90.0,top
Q11,179.4496,-85.4516,0.0,top
Q12,188.174,-58.6676,90.0,top
Q13,187.4252,-67.3922,0.0,top
Q2,180.0758,-60.5966,90.0,top
Q3,177.7542,-53.0768,270.0,top
Q5,190.373,-103.5212,0.0,top
Q6,186.69,-36.4346,0.0,top
Q7,199.4916,-36.2568,0.0,top
Q8,179.1956,-91.568,0.0,top
Q9,172.7454,-100.527,180.0,top
R1,183.9722,-44.2376,0.0,top
R10,128.905,-102.2926,270.0,top
R12,188.5442,-107.4488,270.0,top
R13,168.5902,-76.7993,270.0,top
R14,123.0884,-54.169,270.0,top
R15,173.6598,-75.886,180.0,top
R16,164.6786,-76.5961,270.0,top
R17,164.9326,-72.3543,270.0,top
R18,168.4378,-72.3195,90.0,top
R19,139.2682,-64.4052,90.0,top
R2,122.936,-58.9188,270.0,top
R20,139.2682,-72.1268,90.0,top
R21,135.9154,-70.3996,270.0,top
R22,180.9656,-104.5402,0.0,top
R23,176.9684,-104.6324,180.0,top
R24,181.1688,-108.274,0.0,top
R25,176.911,-108.147,0.0,top
R26,179.8828,-112.4904,0.0,top
R27,184.4294,-100.4732,90.0,top
R28,168.529,-104.972,90.0,top
R29,185.928,-107.382,90.0,top
R2stg1,195.5444,-52.5208,0.0,top
R2stg2,195.5444,-58.1342,180.0,top
R3,118.5572,-32.8469,0.0,top
R30,136.9822,-117.9484,0.0,top
R31,137.0076,-120.5138,180.0,top
R32,136.9314,-115.4338,180.0,top
R33,207.2894,-72.2538,180.0,top
R34,168.7576,-135.7538,180.0,top
R35,230.3018,-100.397,270.0,top
R36,230.2002,-95.825,270.0,top
R37,226.3648,-83.506,0.0,top
R38,226.3464,-124.6124,90.0,top
R39,225.9654,-131.3688,270.0,top
R4,228.65615,-77.3084,0.0,top
R40,225.6606,-138.3792,270.0,top
R41,228.68155,-75.2002,180.0,top
R42,223.84065,-67.1816,0.0,top
R43,223.83675,-69.2351,0.0,top
R44,224.13495,-77.283,0.0,top
R45,224.16035,-75.2764,0.0,top
R46,167.3352,-130.75,180.0,top
R47,162.9664,-128.1084,180.0,top
R48,184.1754,-85.3094,90.0,top
R5,122.6974,-32.8723,0.0,top
R50,221.749,-126.0094,0.0,top
R51,221.8092,-132.9182,0.0,top
R52,222.003,-140.2588,0.0,top
R53,206.001,-134.9918,270.0,top
R54,187.9162,-135.5506,270.0,top
R55,202.2926,-137.735,0.0,top
R56,184.0878,-137.9956,0.0,top
R57,189.1284,-97.8984,90.0,top
R58,192.5066,-97.9492,90.0,top
R59,174.3202,-92.8786,90.0,top
R6,181.8538,-55.161,270.0,top
R7,175.9356,-60.4276,270.0,top
R8,153.437,-53.0514,270.0,top
R9,153.543,-57.7758,270.0,top
RShunt1,220.43925,-51.7072,270.0,top
RShunt2,215.07985,-51.7072,270.0,top
RV2,187.4158,-74.7942,0.0,top
RV3,134.2644,-134.0774,0.0,top
RV4,213.549,-109.5556,90.0,top
U1,224.92335,-51.633,90.0,top
U10,212.3948,-87.2398,180.0,top
U11,77.9272,-118.7866,90.0,top
U12,150.4696,-114.1638,180.0,top
U13,148.9666,-52.0354,90.0,top
U14,222.1838,-98.2734,180.0,top
U2,156.8962,-72.3951,0.0,top
U3,118.1414,-68.8087,90.0,top
U4,118.0338,-55.1342,90.0,top
U5,122.418,-40.2637,90.0,top
U6,179.2224,-98.938,180.0,top
U7,226.3394,-88.0258,90.0,top
U8,219.3236,-61.11785,180.0,top
U9,214.37195,-72.0291,90.0,top
